description,date,amount,card,category
Target,2024-05-26,12.12,Bank of America Custom Cash,Miscellaneous
GNC,2024-05-26,10.47,Bank of America Custom Cash,Miscellaneous
Meso Mediteranean ,2024-05-27,37.76,Citi Custom Cash,Restaurant & Drinks
Netflix,2024-05-27,9.99,AMEX Blue Cash Preferred,Subscriptions
Salt & Straw,2024-05-27,6.55,Citi Custom Cash,Restaurant & Drinks
Wifi,2024-05-30,30,Bilt Rewards,Wifi
Tesla Insurance,2024-05-29,150.56,Bilt Rewards,Car Maintenance
Tesla Barista Bar,2024-05-31,5.91,Bilt Rewards,Restaurant & Drinks
Spotify,2024-05-31,10.99,AMEX Blue Cash Preferred,Subscriptions
Rent,2024-06-01,2766.64,Bilt Rewards,Rent
Phone Bill,2024-06-01,77,Bank of America Checking,Phone Bill
Promix Nutrition,2024-06-01,93.72,Bank of America Custom Cash,Personal Care
Optometry new glasses,2024-06-01,192,HSA,Medical
Trader Joe's ,2024-06-01,66.09,AMEX Blue Cash Preferred,Groceries
Ozumo Sushi,2024-06-01,100,Citi Custom Cash,Restaurant & Drinks
Target moisturizer and face wash,2024-06-01,19.83,Bank of America Custom Cash,Personal Care
Salt & Straw,2024-06-01,11.26,Citi Custom Cash,Restaurant & Drinks
Bevmo St Germain,2024-06-01,40,Bank of America Custom Cash,Fun
Target,2024-06-07,20.16,Bank of America Custom Cash,Personal Care
Victoria Secret,2024-06-04,88.14,Bank of America Custom Cash,Fun
USPS,2024-06-03,28.74,Bank of America Custom Cash,Miscellaneous
Amazon sunscreen for face and body,2024-06-08,64.83,Bank of America Custom Cash,Personal Care
Costco,2024-06-07,78.89,Citi Costco,Costco
Trader Joe's ,2024-06-07,27.09,AMEX Blue Cash Preferred,Groceries
Chocolate,2024-06-09,19.5,Bank of America Custom Cash,Restaurant & Drinks
Wine Tasting Fantesca,2024-06-09,0,Bank of America Custom Cash,Fun
Wine,2024-06-09,1,Bank of America Custom Cash,Restaurant & Drinks
Dinner at Kakushi Izakaya,2024-06-09,115.51,Citi Custom Cash,Restaurant & Drinks
Target wine glasses,2024-06-09,44.1,Bank of America Custom Cash,Personal Care
Bbq Chicken,2024-06-10,50.8,Citi Custom Cash,Restaurant & Drinks
Parking at Stanford,2024-06-10,4.81,Bank of America Custom Cash,Transportation
Boba,2024-06-10,5.4,Citi Custom Cash,Restaurant & Drinks
Drink at Googleplex,2024-06-10,3.27,Citi Custom Cash,Restaurant & Drinks
Lady M,2024-06-10,11.5,Citi Custom Cash,Restaurant & Drinks
Mas Fuego,2024-06-11,66.16,Citi Custom Cash,Restaurant & Drinks
Ippudo Matcha,2024-06-13,80,Bank of America Checking,Miscellaneous
Mikiya Shabu,2024-06-15,103,Citi Costco,Restaurant & Drinks
Olive Oil and Balsamic,2024-06-15,14.99,Bank of America Custom Cash,Restaurant & Drinks
Amazon Polaroids,2024-06-14,45.73,Bank of America Custom Cash,Shopping
Amazon Blender bottle,2024-06-16,29.73,Bank of America Custom Cash,Shopping
Amazon compostable trash bags,2024-06-16,25.3,Bank of America Custom Cash,Shopping
PG&E,2024-06-16,59.79,Bilt Rewards,Utility
Whole Foods,2024-06-23,64.2,AMEX Blue Cash Preferred,Groceries
Costco,2024-06-21,77.65,Citi Costco,Costco
Olive Kollection,2024-06-17,168.69,Bank of America Custom Cash,Fun
Target Mint and La Croix,2024-06-18,8.05,Bank of America Custom Cash,Personal Care
Promix Nutrition,2024-06-22,96.98,Bank of America Custom Cash,Personal Care
Parking in San Mateo,2024-06-22,4.7,Bank of America Custom Cash,Transportation
Sephora,2024-06-23,92.75,Bank of America Custom Cash,Personal Care
Amazon Wristband keychain,2024-06-23,7.71,Bank of America Custom Cash,Shopping
Alan's Flight,2024-06-17,310,Bank of America Custom Cash,Travel
Boba,2024-06-24,8.7,Bilt Rewards,Restaurant & Drinks
Bonchon Lunch,2024-06-24,21.76,Citi Costco,Restaurant & Drinks
In&Out,2024-06-24,5.25,Citi Costco,Restaurant & Drinks
PRINTWITHME,2024-06-25,5,Bank of America Custom Cash,Miscellaneous
Promix Nutrition,2024-06-28,255.01,Bank of America Custom Cash,Personal Care
Angkor Chef,2024-06-28,30.62,Bank of America Custom Cash,Miscellaneous
Angkor Chef,2024-06-28,40,Citi Costco,Restaurant & Drinks
St Pedro Garage,2024-06-28,3,Bank of America Custom Cash,Transportation
Dirty Labs Dishwasher Detergent,2024-06-29,42.18,Bank of America Custom Cash,Shopping
Wifi,2024-06-28,30,Bilt Rewards,Wifi
Spotify,2024-06-27,10.99,AMEX Blue Cash Preferred,Subscriptions
Netflix,2024-06-29,9.99,AMEX Blue Cash Preferred,Subscriptions
Pharmacy,2024-06-27,9.22,HSA,Medical
Tesla Insurance ,2024-06-30,150.56,Bilt Rewards,Car Maintenance
Rent,2024-07-01,2766.57,Bilt Rewards,Rent
Phone Bill,2024-07-01,77,Bank of America Checking,Phone Bill
Tesla Barista,2024-07-03,7.96,Bilt Rewards,Restaurant & Drinks
Costco Membership,2024-07-03,45,Bank of America Checking,Restaurant & Drinks
Amara,2024-07-04,17.54,Bank of America Checking,Restaurant & Drinks
Boba,2024-07-04,17.38,Bank of America Checking,Restaurant & Drinks
Pottery,2024-07-04,48.51,Bank of America Checking,Travel
Ice Cream,2024-07-04,8.5,Citi Costco,Restaurant & Drinks
Pigya,2024-07-04,25.12,Bank of America Checking,Restaurant & Drinks
Karaoke,2024-07-04,46,Bank of America Checking,Travel
Gift for Kathleen,2024-07-05,53.16,Bank of America Custom Cash,Miscellaneous
Oc Lau,2024-07-05,32.4,Citi Costco,Restaurant & Drinks
Target sunscreen,2024-07-05,11.2,Bank of America Custom Cash,Personal Care
Snacks,2024-07-05,31.25,Bank of America Checking,Restaurant & Drinks
Hot Pot,2024-07-05,15,Bank of America Checking,Restaurant & Drinks
MDK noodles,2024-07-06,27.57,Bank of America Checking,Restaurant & Drinks
Gift for Zoe and Jalen,2024-07-06,57.36,Bank of America Custom Cash,Travel
Erewhon,2024-07-06,24.5,AMEX Blue Cash Preferred,Groceries
Jitlada,2024-07-06,33.72,Bank of America Checking,Restaurant & Drinks
Amazon phone case,2024-07-07,22.23,Bank of America Custom Cash,Shopping
"Taylor Swift CDs, ring, and hat",2024-07-07,126.04,Bank of America Custom Cash,Fun
Trader Joe's,2024-07-07,83.28,AMEX Blue Cash Preferred,Groceries
Amazon Jars,2024-07-07,28.1,Bank of America Custom Cash,Shopping
Amazon stuff for Tato,2024-07-07,47.88,Bank of America Custom Cash,Shopping
Amazon Shelf,2024-07-07,35.27,Bank of America Custom Cash,Shopping
Olive Kollection,2024-07-07,44.67,Bank of America Custom Cash,Personal Care
Puesto's,2024-07-09,21,Bank of America Checking,Restaurant & Drinks
Dirty Labs,2024-07-09,43.65,Bank of America Custom Cash,Personal Care
Tetanus Vaccine,2024-07-10,154,HSA,Medical
Target,2024-07-12,69.16,AMEX Blue Cash Preferred,Personal Care
Costco,2024-07-12,86.5,Citi Costco,Costco
Trader Joe's,2024-07-12,35.48,AMEX Blue Cash Preferred,Groceries
99 Ranch,2024-07-12,41.7,AMEX Blue Cash Preferred,Groceries
PG&E,2024-07-13,74.44,Bilt Rewards,Utility
Sephora,2024-07-13,63.07,Bank of America Custom Cash,Fun
Promix Nutrition Refund,2024-06-28,-255.01,Bank of America Custom Cash,Personal Care
Oner,2024-07-16,285.52,Bank of America Custom Cash,Shopping
Amazon matcha,2024-07-17,26.38,Bank of America Custom Cash,Shopping
Amazon battery and matcha scoop,2024-07-17,11.44,Bank of America Custom Cash,Shopping
Living Room Coffee,2024-07-20,7.46,Citi Custom Cash,Restaurant & Drinks
Sushi,2024-07-20,53.53,Citi Custom Cash,Restaurant & Drinks
Gen KBBQ,2024-07-18,41,Bank of America Checking,Restaurant & Drinks
La Casa Mia,2024-07-19,24.94,Citi Custom Cash,Restaurant & Drinks
Meet Fresh,2024-07-18,13.64,Citi Custom Cash,Restaurant & Drinks
Boba Coco Fresh,2024-07-19,18.59,Citi Custom Cash,Restaurant & Drinks
Taylor Swift Cardigan ,2024-07-24,77.18,Bank of America Custom Cash,Fun
Popflex Swimsuit,2024-07-25,136.71,Bank of America Custom Cash,Shopping
Gao Viet,2024-07-22,34,Bank of America Checking,Restaurant & Drinks
Target,2024-07-21,98.08,Bank of America Checking,Personal Care
Boba TP Tea,2024-07-21,7.09,Citi Custom Cash,Restaurant & Drinks
Trader Joe's,2024-07-21,34.32,AMEX Blue Cash Preferred,Groceries
Car Wash,2024-07-21,20,AMEX Blue Cash Preferred,Car Maintenance
Pet table,2024-07-25,49.5,Bank of America Custom Cash,Miscellaneous
Olaplex,2024-07-28,98,Bank of America Checking,Personal Care
Popflex Leggings and Skirt,2024-07-28,91,Bank of America Checking,Shopping
Taylor Swift CD,2024-07-07,30,Bank of America Checking,Fun
Mailing Costs,2024-07-28,24.75,Bank of America Checking,Miscellaneous
Taylor Swift Ring Return,2024-07-07,-38.59,Bank of America Custom Cash,Fun
Oner Active Return,2024-07-16,129.7,Bank of America Custom Cash,Miscellaneous
Big Al's,2024-07-25,15,Citi Custom Cash,Restaurant & Drinks
Trader Joe's,2024-07-28,12.65,AMEX Blue Cash Preferred,Groceries
Hmart,2024-07-27,50.85,AMEX Blue Cash Preferred,Groceries
Costco,2024-07-28,132.51,Citi Costco,Costco
Krung Thai,2024-07-27,66.36,Citi Costco,Restaurant & Drinks
Bun Appetit,2024-07-28,-27.9,Citi Costco,Restaurant & Drinks
Netflix,2024-07-27,9.99,AMEX Blue Cash Preferred,Subscriptions
Target Elon book,2024-07-27,20.61,Bank of America Custom Cash,Miscellaneous
Tesla Insurance ,2024-07-26,168.91,Bilt Rewards,Car Maintenance
Wifi,2024-07-28,30,Bilt Rewards,Wifi
Swift Alert,2024-07-28,2,Bilt Rewards,Miscellaneous
Mailing Costs,2024-07-30,131,Bank of America Checking,Miscellaneous
Rent,2024-08-01,2848,Bilt Rewards,Rent
Phone Bill,2024-08-01,77,Bank of America Checking,Phone Bill
Spotify,2024-07-28,11.99,AMEX Blue Cash Preferred,Subscriptions
99 Ranch,2024-07-29,12.86,AMEX Blue Cash Preferred,Groceries
Pho & Bun,2024-08-03,25,Bank of America Checking,Restaurant & Drinks
Yemeni Coffee,2024-08-03,25,Citi Custom Cash,Restaurant & Drinks
Rice Junky,2024-08-03,30,Bank of America Checking,Restaurant & Drinks
99 Ranch,2024-08-04,29.29,AMEX Blue Cash Preferred,Groceries
Amazon iphone case and screen protector,2024-08-02,15.4,Bank of America Custom Cash,Shopping
amazon cat litter box,2024-08-04,38.58,Bank of America Custom Cash,Shopping
Clipper card,2024-08-05,3,AMEX Blue Cash Preferred,Transportation
Medical Bills - vaccine,2024-08-06,31,HSA,Medical
Puesto's,2024-08-06,22.49,Citi Custom Cash,Restaurant & Drinks
Tesla Indian Food,2024-08-07,11.32,Citi Custom Cash,Restaurant & Drinks
Nail Salon,2024-08-09,65,Bank of America Checking,Fun
El Jardin,2024-08-09,76.06,Citi Costco,Restaurant & Drinks
Bun Appetit,2024-08-10,18.74,Citi Costco,Restaurant & Drinks
Press Reservations,2024-08-11,99,Citi Costco,Restaurant & Drinks
Ramen Nagi,2024-08-11,30,Citi Costco,Restaurant & Drinks
Parking Santana Row,2024-08-11,1,Citi Costco,Transportation
"L'Occitane body oil, shower oil, lotion",2024-08-11,170.24,AMEX Blue Cash Preferred,Personal Care
Costco,2024-08-11,224,Citi Costco,Costco
TJ Max,2024-08-11,17.52,AMEX Blue Cash Preferred,Miscellaneous
Amazon Cat tower and couch protector,2024-08-11,95.43,Bank of America Custom Cash,Shopping
"Target cotton pad, stuff, mouthwash",2024-08-11,41.53,Bank of America Custom Cash,Personal Care
PG&E,2024-08-17,66.51,Bilt Rewards,Utility
NCEES PE Exam,2024-08-13,400,Bank of America Custom Cash,Miscellaneous
Costco,2024-08-22,158.07,Citi Costco,Costco
Target,2024-08-22,55.64,Bank of America Custom Cash,Personal Care
Trader Joe's,2024-08-22,19.12,AMEX Blue Cash Preferred,Groceries
Uniqlo,2024-08-22,120,Bank of America Checking,Shopping
Banh Mi,2024-08-24,10,Bank of America Checking,Restaurant & Drinks
Target,2024-08-25,35.91,Bank of America Checking,Personal Care
Sabrina Carpenter Signed Vinyl,2024-08-22,46.5,Bank of America Custom Cash,Fun
Amazon cat scratch film and mattress clear bag,2024-08-26,21.03,Bank of America Custom Cash,Shopping
Amazon shoe covers,2024-09-02,11.01,Bank of America Custom Cash,Shopping
Amazon soap dispensers,2024-09-02,42.96,Bank of America Custom Cash,Shopping
Amazon litter covers,2024-09-02,7.71,Bank of America Custom Cash,Shopping
Amazon twin bedsheets and glass juice containers,2024-09-05,91.22,Bank of America Custom Cash,Shopping
Amazon queen bedsheets,2024-09-06,36.27,Bank of America Custom Cash,Shopping
Trader Joe's,2024-08-31,21.2,Bank of America Checking,Groceries
Halsey Vinyl,2024-09-06,44.1,Bank of America Custom Cash,Miscellaneous
Ramen Kowa,2024-09-01,23.12,Bank of America Checking,Restaurant & Drinks
Hansang Tofu,2024-08-31,60.06,Bank of America Checking,Restaurant & Drinks
Boba KFT,2024-09-01,6.18,Bank of America Checking,Restaurant & Drinks
YakiniQ,2024-09-02,41.14,Bank of America Checking,Restaurant & Drinks
Home Depot Rental + Brevvie,2024-08-31,12.64,Bank of America Checking,Miscellaneous
Costco,2024-09-03,87,Bank of America Checking,Costco
Target organizers,2024-08-31,52.25,Bank of America Checking,Miscellaneous
EV Charging Spot,2024-09-01,71.25,Bank of America Checking,Transportation
In&Out,2024-08-28,9.09,Bank of America Checking,Restaurant & Drinks
Olive Garden,2024-09-05,23.75,Bank of America Checking,Restaurant & Drinks
RH Dinner,2024-09-06,252.51,Bank of America Checking,Travel
Bouchon,2024-09-07,41.79,Bank of America Checking,Travel
Schramsburg Davies x3 bottles,2024-09-07,255.08,Bank of America Checking,Travel
Farmstead,2024-09-07,144.4,Bank of America Checking,Travel
Chimney Rock x4 bottles,2024-09-07,495.88,Bank of America Checking,Travel
Paradigm x3 bottles,2024-09-07,424.07,Bank of America Checking,Travel
Silverado Resort Charges,2024-09-07,49.16,Bank of America Checking,Travel
Press,2024-09-07,894.3,Bank of America Checking,Travel
Mini Model,2024-09-08,40.82,Bank of America Checking,Travel
Costco,2024-09-09,93.02,Citi Costco,Costco
Rent,2024-09-01,2159.55,Bilt Rewards,Rent
Corvision Optometry contacts,2024-09-11,140,AMEX Checking,Medical
Big Al's,2024-09-12,10.94,Citi Custom Cash,Restaurant & Drinks
Tea Top,2024-09-13,7,Citi Custom Cash,Restaurant & Drinks
Viet food ,2024-09-14,22.67,AMEX Checking,Restaurant & Drinks
Tapas,2024-09-14,30,AMEX Checking,Restaurant & Drinks
Costco,2024-09-15,22.87,AMEX Checking,Costco
Target,2024-09-15,87.46,Bank of America Custom Cash,Shopping
Sephora,2024-09-15,136.71,Bilt Rewards,Personal Care
Trader Joe's,2024-09-15,11.48,AMEX Checking,Groceries
Amazon bathroom shelves + air purifier,2024-09-15,226.36,AMEX Checking,Shopping
PG&E,2024-09-15,85.01,Bilt Rewards,Utility
Snapstreak,2024-08-31,0.99,Bilt Rewards,Miscellaneous
In&Out,2024-09-15,5.98,AMEX Checking,Restaurant & Drinks
Spotify,2024-08-30,11.99,AMEX Blue Cash Preferred,Subscriptions
Netflix,2024-08-27,9.99,AMEX Blue Cash Preferred,Subscriptions
Halsey Vinyl refund,2024-09-06,-44.1,Bank of America Custom Cash,Miscellaneous
Halsey Signed CD,2024-09-11,22.52,Bank of America Custom Cash,Miscellaneous
Silverado Napa Valley,2024-09-08,377.62,AMEX Checking,Travel
Car Wash,2024-09-15,15,AMEX Checking,Car Maintenance
Fastrack Toll,2024-09-12,25,AMEX Blue Cash Preferred,Transportation
GT Nutrition Call,2024-09-05,5,Bank of America Checking,Miscellaneous
Omakase SOHO Modern Japanese,2024-09-20,243.31,Citi Custom Cash,Restaurant & Drinks
Amazon blackout curtains and noodles,2024-09-21,45.16,Bank of America Checking,Shopping
Fastrack Toll,2024-09-19,25,AMEX Blue Cash Preferred,Transportation
iCloud,2024-08-31,0.99,Bilt Rewards,Rent
Amazon Apple Pencil,2024-09-21,107.81,Bank of America Custom Cash,Shopping
Chef Cho,2024-09-21,23.5,Bank of America Checking,Restaurant & Drinks
Costco,2024-09-22,57.96,Citi Costco,Costco
99 Ranch,2024-09-22,14,AMEX Blue Cash Preferred,Groceries
Tofu and Boba,2024-09-22,15,Bank of America Checking,Restaurant & Drinks
Promix Nutrition,2024-09-23,88.31,Bank of America Custom Cash,Personal Care
Ikon Pass,2024-09-23,329,Bank of America Custom Cash,Miscellaneous
Xfinity Wifi,2024-09-23,23.22,Bilt Rewards,Wifi
Vasy's Donut,2024-09-28,83.68,Citi Custom Cash,Restaurant & Drinks
Trader Joe's,2024-09-28,50.71,AMEX Blue Cash Preferred,Groceries
Costco,2024-09-29,86.68,Citi Costco,Costco
Japan Flights,2024-09-29,1568.82,AMEX Checking,Travel
Netflix,2024-09-27,9.99,AMEX Blue Cash Preferred,Subscriptions
Tesla Insurance,2024-09-29,168.91,Bilt Rewards,Car Maintenance
Rent,2024-10-01,1790.75,Bilt Rewards,Rent
Phone Bill,2024-10-01,77,Bank of America Checking,Phone Bill
Costco,2024-10-07,21,AMEX Checking,Costco
PG&E,2024-09-24,24.3,Bilt Rewards,Utility
Costco,2024-10-13,59.65,AMEX Checking,Costco
Target sunglasses,2024-10-13,26.46,AMEX Checking,Fun
Baekjong KBBQ,2024-10-07,60,AMEX Checking,Restaurant & Drinks
Target Method Wash,2024-10-07,17.5,AMEX Checking,Personal Care
Spotify,2024-09-30,11.99,AMEX Blue Cash Preferred,Subscriptions
Sephora,2024-10-10,52.92,Bank of America Custom Cash,Personal Care
Olive Kollection,2024-09-26,65.07,Bank of America Custom Cash,Fun
Amazon Tato Plates,2024-09-27,15.42,Bank of America Custom Cash,Shopping
Amazon Garnier Hair Oil,2024-10-08,12.56,Bank of America Custom Cash,Shopping
Salt and Straw,2024-10-06,13.97,Citi Custom Cash,Restaurant & Drinks
Simply Cake,2024-10-04,5.86,Citi Custom Cash,Restaurant & Drinks
Dirty Labs,2024-10-16,21.17,Bank of America Custom Cash,Shopping
Costco,2024-10-16,1,Citi Costco,Costco
Amazon Steak Knives and Noodles,2024-10-13,25.62,AMEX Checking,Shopping
Muffin for Adam,2024-10-16,5,AMEX Checking,Fun
Target baby wipes and tide pen,2024-10-19,8.25,Bank of America Custom Cash,Miscellaneous
Tong Sui,2024-10-19,19.9,Citi Custom Cash,Restaurant & Drinks
Osaka Cod,2024-10-17,14.84,AMEX Blue Cash Preferred,Groceries
Osaka omakase ingredients,2024-10-18,182.48,AMEX Blue Cash Preferred,Groceries
Whole Foods,2024-10-18,28.41,AMEX Blue Cash Preferred,Groceries
99 Ranch,2024-10-18,2.37,AMEX Blue Cash Preferred,Groceries
99 Ranch,2024-10-19,20,AMEX Blue Cash Preferred,Groceries
Columbia Winter Gear,2024-10-19,199.37,Bank of America Custom Cash,Shopping
Dry Cleaner,2024-10-18,24,Bank of America Checking,Personal Care
Factory Coffee,2024-10-18,11.12,Bilt Rewards,Restaurant & Drinks
Costco,2024-10-21,34.34,Citi Costco,Costco
99 Ranch,2024-10-21,20.56,AMEX Blue Cash Preferred,Groceries
Whole Foods Cake,2024-10-23,3,Bank of America Custom Cash,Groceries
"Amazon cat litter, box, brush, post",2024-10-24,136.16,Bank of America Custom Cash,Shopping
Amazon cat kelp supplement and vitamin E,2024-10-22,20.58,Bank of America Custom Cash,Shopping
Costco,2024-10-26,91.95,Citi Costco,Costco
Pet Club,2024-10-26,28.34,Bank of America Custom Cash,Shopping
Ski Pants,2024-10-26,109.15,Bank of America Custom Cash,Shopping
Wifi,2024-10-24,30,Bilt Rewards,Wifi
Yokee Milk Tea,2024-10-14,20.01,Bilt Rewards,Restaurant & Drinks
PG&E,2024-10-15,48.6,Bilt Rewards,Utility
Justine's Snacks Cookbook,2024-10-28,38.02,Bank of America Custom Cash,Miscellaneous
TJ's,2024-10-28,47.95,AMEX Blue Cash Preferred,Groceries
Notary UPS,2024-10-28,15,Bank of America Custom Cash,Miscellaneous
